t_dim,SW_net,LW_in,LW_out,R_net,H_t,Ls_t,G_t,T_5mm,T_a,T_s,Lf_b,H_b,G_b,top_flux_sum,bottom_flux_sum,mass_loss_bottom,mass_loss_top,thickness_loss_top,thickness_loss_bottom
35.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.231770363421246,-21.508149194953035,135.27442526232107,272.72362732013823,269.79427163674563,272.42301748622197,7060.3839,-7060.3839,0.0,-189.26401682924876,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
36.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.232821546905752,-21.508149194953035,134.41397721540227,272.7217152133673,269.794025611931,272.42301748622197,7060.3839,-7060.3839,0.0,-190.1255160596521,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
36.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.233872740524635,-21.508149194953035,133.5693701018613,272.71983830867055,269.7937795847444,272.42301748622197,7060.3839,-7060.3839,0.0,-190.97117436681197,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
37.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.234923944276678,-21.508149194953035,132.7401391052632,272.71799557312255,269.79353355518623,272.42301748622197,7060.3839,-7060.3839,0.0,-191.80145656716206,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
37.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.235975158160183,-21.508149194953035,131.92583750531526,272.71618601401156,269.7932875232568,272.42301748622197,7060.3839,-7060.3839,0.0,-192.61680938099352,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
38.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.237026382174175,-21.508149194953035,131.1260358258636,272.7144086769461,269.7930414889564,272.42301748622197,7060.3839,-7060.3839,0.0,-193.4176622844592,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
38.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.238077616316957,-21.508149194953035,130.34032102888204,272.7126626440639,269.7927954522854,272.42301748622197,7060.3839,-7060.3839,0.0,-194.20442831558353,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
39.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.239128860587071,-21.508149194953035,129.56829575153677,272.7109470323365,269.79254941324416,272.42301748622197,7060.3839,-7060.3839,0.0,-194.97750483719892,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
39.5,0.0,200,-491.7985225331956,-291.7985225331956,-11.240180114983543,-21.508149194953035,128.80957758374336,272.7092609919636,269.7923033718329,272.42301748622197,7060.3839,-7060.3839,0.0,-195.7372742593888,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
40.0,0.0,200,-491.7985225331956,-291.7985225331956,-11.241231379504677,-21.508149194953035,128.06379838414443,272.7076037048534,269.79205732805195,272.42301748622197,7060.3839,-7060.3839,0.0,-196.48410472350884,0.0,0.021138873952095807,-7.589325756864162e-06,-8.278963408818765e-09,2.3059751229514353e-05
